SettlementPoint,Year,Month,AveragePrice
LZ_LCRA,2017,1,23.43627688172043
LZ_LCRA,2017,2,20.660818452380937
LZ_LCRA,2017,3,23.437133243607
LZ_LCRA,2017,4,24.477416666666684
LZ_LCRA,2017,5,25.637956989247325
LZ_LCRA,2017,6,28.639083333333343
LZ_LCRA,2017,7,31.905712365591352
LZ_LCRA,2017,8,27.678010752688152
LZ_LCRA,2017,9,24.813430555555563
LZ_LCRA,2017,10,24.484260752688193
LZ_LCRA,2017,11,23.047124999999994
LZ_LCRA,2017,12,21.11766129032256
LZ_LCRA,2018,1,38.99256720430111
LZ_LCRA,2018,2,21.76224702380953
LZ_LCRA,2018,3,22.051305518169595
LZ_LCRA,2018,4,22.644027777777783
LZ_LCRA,2018,5,34.73540322580648
LZ_LCRA,2018,6,30.365555555555577
LZ_LCRA,2018,7,79.06994623655915
LZ_LCRA,2018,8,31.807970430107524
LZ_LCRA,2018,9,27.18726388888886
LZ_LCRA,2018,10,30.06987903225809
LZ_LCRA,2018,11,30.515805555555563
LZ_LCRA,2018,12,30.582661290322633
LZ_LCRA,2019,1,24.936303763440858
LZ_LCRA,2019,2,21.66697916666667
LZ_LCRA,2019,3,27.649313593539745
LZ_LCRA,2019,4,23.31476388888888
LZ_LCRA,2019,5,24.50868279569892
LZ_LCRA,2019,6,24.51954166666666
LZ_LCRA,2019,7,29.74791666666666
LZ_LCRA,2019,8,126.67076612903215
LZ_LCRA,2019,9,82.46723611111106
LZ_LCRA,2019,10,29.015806451612917
LZ_LCRA,2019,11,24.485222222222248
LZ_LCRA,2019,12,19.456881720430097
LZ_NORTH,2016,1,19.187997311827974
LZ_NORTH,2016,2,15.46221264367817
LZ_NORTH,2016,3,17.461507402422594
LZ_NORTH,2016,4,19.08763888888888
LZ_NORTH,2016,5,18.182889784946234
LZ_NORTH,2016,6,23.562680555555552
LZ_NORTH,2016,7,27.415779569892457
LZ_NORTH,2016,8,30.148575268817243
LZ_NORTH,2016,9,26.605861111111107
LZ_NORTH,2016,10,24.532661290322583
LZ_NORTH,2016,11,18.830513888888877
